ID	Name	ClassName	CategoryName	LevelName	IsViewSpecific	OwnerViewName	IsWorkshared	WorksetName	DesignOptionSet	DesignOptionName	PhaseName	
547925	Detail Lines	DetailLine	Lines		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547926	Detail Lines	DetailLine	Lines		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547927	Detail Lines	DetailLine	Lines		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547935	Detail Lines	DetailLine	Lines		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547936	Detail Lines	DetailLine	Lines		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547937	Framing Section - Sizeable	FamilyInstance	Detail Items		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547938	Framing Section - Sizeable	FamilyInstance	Detail Items		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547939	Detail Lines	DetailLine	Lines		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547940	Detail Lines	DetailLine	Lines		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547941	Detail Lines	DetailLine	Lines		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547942	Detail Lines	DetailLine	Lines		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
