ID	Name	ClassName	CategoryName	LevelName	IsViewSpecific	OwnerViewName	IsWorkshared	WorksetName	DesignOptionSet	DesignOptionName	PhaseName	
534187	Linear - 3/32" Arial	Dimension	Dimensions		True	Int - Jamb at Paneled Recess	False					
534188	Linear - 3/32" Arial	Dimension	Dimensions		True	Int - Jamb at Paneled Recess	False					
534189	Detail Lines	DetailLine	Lines		True	Int - Jamb at Paneled Recess	False					
534190	Detail Lines	DetailLine	Lines		True	Int - Jamb at Paneled Recess	False					
534191	Detail Lines	DetailLine	Lines		True	Int - Jamb at Paneled Recess	False					
534192	Detail Lines	DetailLine	Lines		True	Int - Jamb at Paneled Recess	False					
534193	Detail Lines	DetailLine	Lines		True	Int - Jamb at Paneled Recess	False					
534194	Detail Lines	DetailLine	Lines		True	Int - Jamb at Paneled Recess	False					
534195	Detail Lines	DetailLine	Lines		True	Int - Jamb at Paneled Recess	False					
534196	Detail Lines	DetailLine	Lines		True	Int - Jamb at Paneled Recess	False					
534197	Linear - 3/32" Arial	Dimension	Dimensions		True	Int - Jamb at Paneled Recess	False					
534198	Linear Dimension Style	Dimension	Constraints		True	Int - Jamb at Paneled Recess	False					
534207	Detail Filled Region	FilledRegion	Detail Items		True	Int - Jamb at Paneled Recess	False					
534216	Detail Filled Region	FilledRegion	Detail Items		True	Int - Jamb at Paneled Recess	False					
534225	Detail Filled Region	FilledRegion	Detail Items		True	Int - Jamb at Paneled Recess	False					
534239	Detail Filled Region	FilledRegion	Detail Items		True	Int - Jamb at Paneled Recess	False					
534249	Detail Lines	DetailLine	Lines		True	Int - Jamb at Paneled Recess	False					
534250	Detail Lines	DetailLine	Lines		True	Int - Jamb at Paneled Recess	False					
534251	Detail Lines	DetailLine	Lines		True	Int - Jamb at Paneled Recess	False					
534252	Linear - 3/32" Arial	Dimension	Dimensions		True	Int - Jamb at Paneled Recess	False					
534253	Detail Lines	DetailLine	Lines		True	Int - Jamb at Paneled Recess	False					
534254	Detail Lines	DetailLine	Lines		True	Int - Jamb at Paneled Recess	False					
534255	Detail Lines	DetailLine	Lines		True	Int - Jamb at Paneled Recess	False					
534256	1/10" Arial	TextNote	Text Notes		True	Int - Jamb at Paneled Recess	False					
534257	Detail Lines	DetailLine	Lines		True	Int - Inside corner at acoustic wd panel	False					
534258	Detail Lines	DetailLine	Lines		True	Int - Inside corner at acoustic wd panel	False					
534259	Detail Lines	DetailLine	Lines		True	Int - Inside corner at acoustic wd panel	False					
534260	Detail Lines	DetailLine	Lines		True	Int - Inside corner at acoustic wd panel	False					
534261	Detail Lines	DetailLine	Lines		True	Int - Inside corner at acoustic wd panel	False					
534262	Detail Lines	DetailLine	Lines		True	Int - Inside corner at acoustic wd panel	False					
